,Product,Category,Ingredients
0,,,
1,"ATTITUDE Toothpaste, Fluoride Free, Sensitive Rating",Toothpaste,potassium nitrate 5%  Sorbitol  aqua  glycerin  hydrated silica  sodium methyl cocoyl taurate  gaultheria procumbens (wintergreen / th des bois) leaf oil*  xanthan gum  citric acid  stevia rebaudiana leaf/stem extract  sodium benzoate  carica papaya (papaya) leaf extract  camellia sinensis (green tea) leaf extract  potassium sorbate  sodium chloride  D-limonene
2,"Davids Premium Natural Toothpaste, Natural Peppermint Rating",Tooth Whitening,calcium carbonate (limestone abrasive)  purified water  sodium bicarbonate (baking soda)  vegetable glycerin  hydraded silica  xylitol (birch derived)  sodium cocoyl glutamate (coconut derived)  carrageenan (seaweed derived)  mentha piperita (peppermint) oil  mentha viridis (spearmint) leaf oil  pimpinella anisum (anise) seed extract  gaultheria procumbens (wintergreen) leaf oil  stevia
3,Pipette Hand Sanitizer Rating,Hand Sanitizer,Active ingredient: Alcohol 65%  Water  Glycerin  Squalane  Acrylates Copolymer  Sodium Hydroxide
4,"ATTITUDE Toothpaste for Kids, Fluoride Free, Mango Rating",Toothpaste,Sorbitol  aqua  glycerin  hydrated silica  sodium methyl cocoyl taurate  xanthan gum  citric acid  stevia rebaudiana leaf/stem extract  sodium benzoate  carica papaya (papaya) leaf extract  camellia sinensis (green tea) leaf extract  potassium sorbate  sodium chloride  caprylic / capric triglyceride*  vanillin*  3-hexenol*  hexyl hexanoate*  hexenyl acetate*  gamma-decalactone*  hexyl acetate*
5,"ATTITUDE Hand Soap, Vanilla Caramel Rating",Liquid Hand Soap,Aqua/Water/Eau  Sodium Coco-Sulfate  Glycerin  Coco-Glucoside  Sodium Cocoyl Isethionate  Sodium Chloride  Citric Acid  Sodium Benzoate  Potassium Sorbate  Sodium Carbonate  [[DISCLOSED FRAGRANCE]]**  **COMPONENTS: Linalyl Acetate  Methyldihydrojasmonate  Pentadecalactone  Triethyl Citrate  Vanillin
6,"ATTITUDE Super Leaves Natural Hand Soap, Lemon Leaves Rating",Liquid Hand Soap,Aqua / water / eau  sodium coco-sulfate  sodium chloride  coco-glucoside  vegetable glycerin  decyl glucoside  glyceryl oleate  citric acid  nasturtium officinale (watercress / cresson) extract  tropaeolum magus (indian cress / capucine) extract  maltodextrin  moringa oleifera seed extract  citrus limon (lemon / citron) leaf extract  sodium benzoate  potassium sorbate  3-hexenol (green leaves)  methyldihydrojasmonate (jasmin)  dimethyl heptenal (fruit).
7,"ATTITUDE Toothpaste, Complete Care Rating",Toothpaste,Active ingredient: sodium fluoride 0.243%  sorbitol  aqua  glycerin  hydrated silica  sodium lauryl sulfate  gaultheria procumbens (wintergreen) leaf oil*  xanthan gum  citric acid  stevia rebaudiana leaf/stem extract  sodium benzoate  carica papaya leaf extract  camellia sinensis (green tea) leaf extract  sodium bicarbonate  titanium dioxide  potassium sorbate  hydroxyapatite  D-limonene
8,"Davids Premium Natural Toothpaste, Peppermint + Charcoal Rating",Tooth Whitening,calcium carbonate (limestone abrasive)  purified water  sodium bicarbonate (baking soda)  vegetable glycerin  hydrated silica  xylitol (birch derived)  cocos nucifera (coconut) oil  activated charcoal  carrageenan (seaweed extract)  sodium cocoyl glutamate  mentha piperita (peppermint) oil  mentha viridis (spearmint) leaf oil  pimpinella anisum (anise) seed extract  gaultheria procumbens (wintergreen) leaf oil  stevia (leaf extract)
9,"Purelygreat Cream Deodorant, Lavender Rating",Antiperspirant/Deodorant,: Sodium bicarbonate  Zea Mays (corn) starch  glycerin Essential oils: citrus paradisi  citrus sinensis  pelargonium graveolens  cupressus sempervirens  lavendula angustifolia  coriandrum sativum
10,HAPPY Tooth Powder Unflavored with Xylitol Rating,Toothpaste,hydroxyapatite  xylitol  sodium bicarbonate  calcium carbonate  calcium lactate  calcium silicate
11,BOTAO Baby Strawberry Flavored Toothpaste Rating,Baby Toothpaste,Xylitol  Aqua  Glycerin  Silica  Xanthan Gum  Sodium Benzoate  Potassium Sorbate  Citric acid  Chamomilla Recutita (Matricaria) Flower Extract  Calendula Officinalis Flower Extract  Aloe barbadensis leaf juice  Fragaria Chiloensis (Strawberry) Fruit Extract
12,"Everyone Hand Sanitizer Wipes, Lavender Aloe Rating",Hand Sanitizer,Active Ingredients: Ethanol 62%  Inactive Ingredients: Water  Lavandula Angustifolia (Lavender) Oil  **Aloe Barbadensis Leaf Juice  **Matricaria Recutita (Chamomile) Flower Extract  **Calendula Officinalis Flower Extract  **Camellia Sinensis (WhiteTea) Leaf Extract  Glycerin.
13,"ATTITUDE Super Leaves Hand Soap, White Tea Leaves Rating",Liquid Hand Soap,Aqua / water / eau  sodium coco-sulfate  sodium chloride  coco-glucoside  vegetable glycerin  decyl glucoside  glyceryl oleate  citric acid  nasturtium officinale (watercress / cresson) extract  tropaeolum magus (indian cress / capucine) extract  maltodextrin  moringa oleifera seed extract  camellia sinensis (white tea / th̩ blanc) leaf extract  sodium benzoate  potassium sorbate  methyldihydrojasmonate (jasmin)  hexyl salicylate (floral)  pentadecalactone (fruit).
14,"Davids Sensitive+Whitening Hydroxyapatite Toothpaste, Natural Peppermint",Toothpaste,calcium carbonate  vegetable glycerin  purified water  sodium bicarbonate  xylitol  hydrated silica  hydroxyapatite  sodium cocoyl glutamate  carrageenan  mentha piperita (peppermint) oil  mentha viridis (spearmint) leaf oil  pimpinella anisum (anise) seed extract  gaultheria procumbens (wintergreen) leaf oil  stevia
15,"Organic Bath Co. Hand Sanitizer, PeaceFull Rating",Hand Sanitizer,Active Ingredient: Ethyl Alcohol 63%  Inactive Ingredients: Purified Water USP  Glycerin  Organic Lavandula Angustifolia (Lavender) Oil
16,"purelygreat Charcoal Deodorant, Lavender Rating",Antiperspirant/Deodorant,Sodium bicarbonate (51%)  Zea Mays(corn) starch (12%)  Glycerin (36%)  lavendula angustifolia oil  coriandrum sativum oil  citrus paradisi oil  citrus sinensis oil  cupressus sempervirens oil  pelargonium graveolens oil  Charcoal Powder (<1%)
17,"ATTITUDE Hand Soap, Orange Cinnamon Rating",Liquid Hand Soap,Aqua/Water/Eau  Sodium Coco-Sulfate  Glycerin  Coco-Glucoside  Sodium Cocoyl Isethionate  Sodium Chloride  Citric Acid  Sodium Benzoate  Potassium Sorbate  Sodium Carbonate  [[DISCLOSED FRAGRANCE]]**  **COMPONENTS: Beta-Caryophyllene  Cinnamonitrile  Methyldihydrojasmonate  Triethyl Citrate  Vanillin
18,"Purelygreat Cream Deodorant, Unscented Rating",Antiperspirant/Deodorant,: Sodium bicarbonate  Zea Mays (corn) starch  glycerin
19,"Everyone Hand Sanitizer Spray, Peppermint Citrus Rating",Hand Sanitizer,Active Ingredients: Ethanol 62% Inactive Ingredients: Purified Water  Citrus Aurantium Dulcis (Orange) Peel Oil  Lavandula Angustifolia (Lavender) Oil  Mentha Piperita (Peppermint) Oil  Vegetable Glycerin
20,"Carolina Castile Soap Gentle Castile Soap, Unscented Rating",Body Wash/Cleanser,Water (Aqua)  Olea Europaea Fruit Oil  Cocos Nucifera Oil  Potassium Hydroxide*  Theobroma Cacao (Cocoa) Seed Butter**  Aleurites Moluccana (Kukui Nut) Seed Oil  Citric Acid and Tocopherol (Vitamin E).
21,"Purelygreat Cream Deodorant, Citrus For Women Rating",Antiperspirant/Deodorant,: Sodium bicarbonate  Zea Mays (corn) starch  glycerin Essential oils: citrus paradisi  citrus sinensis  pelargonium graveolens  citrus aurantifolia  cupressus sempervirens  coriandrum sativum
22,"ATTITUDE Toothpaste, Fluoride Free, Fresh Breath Rating",Toothpaste,Sorbitol  aqua  glycerin  hydrated silica  sodium methyl cocoyl taurate  mentha piperita (peppermint/menthe poivr e) oil*  xanthan gum  citric acid  stevia rebaudiana leaf/stem extract  sodium benzoate  carica papaya (papaya) leaf extract  camellia sinensis (green tea) leaf extract  sodium bicarbonate  potassium sorbate  sodium chloride  D-limonene.
23,"ATTITUDE Sensitive Skin Hand Soap, Avocado Rating",Liquid Hand Soap,Aqua / water / eau  sodium coco-sulfate  glycerin  sodium cocoyl isethionate  coco-glucoside  sodium chloride  citric acid  sodium benzoate  potassium sorbate  persea gratissima (avocado) oil  avena sativa (oat / avoine) kernel extract  allyl caproate (sweet fruit)  hexenyl acetate (green fruit)  gamma decalactone (fruit)  geranyl acetate (floral).
24,"ATTITUDE Toothpaste, Fluoride Free, Whitening Rating",Tooth Whitening,Sorbitol  aqua  glycerin  hydrated silica  sodium methyl cocoyl taurate  mentha piperita (peppermint/menthe poivr e) oil*  xanthan gum  citric acid  stevia rebaudiana leaf/stem extract  sodium benzoate  carica papaya (papaya) leaf extract  camellia sinensis (green tea) leaf extract  potassium sorbate  hydroxyapatite  sodium chloride  D-limonene.
25,HAPPY Tooth Powder Unflavored with Erythritol Rating,Toothpaste,hydroxyapatite  erythritol  sodium bicarbonate  calcium carbonate  calcium lactate  calcium silicate
26,"ATTITUDE Sensitive Skin Hand Soap, Fragrance-Free Rating",Liquid Hand Soap,Aqua / water / eau  sodium coco-sulfate  glycerin  sodium cocoyl isethionate  coco-glucoside  sodium chloride  citric acid  sodium benzoate  potassium sorbate  vitis vinifera (grape) seed oil  avena sativa (oat / avoine) kernel extract  triethyl citrate  raspberry ketone  allyl caproate.
27,"HAPPY Mouth Rinse, Unflavored, Clear Rating",Mouthwash,Purified water (distilled)  Erythritol  Baking soda  Aloe vera  Citric acid
28,"ATTITUDE Little Leaves Hand Sanitizer, Vanilla & Pear Rating",Hand Sanitizer,Active ingredient: Ethyl alcohol (72%)  Water  glycerin  vaccinium angustifolium (blueberry) leaf extract  triethyl citrate  gamma-undecalactone  hexyl acetate  vanillin.
29,"ATTITUDE Hand Soap, Apple & Spices Rating",Liquid Hand Soap,Aqua/ Water/Eau  Sodium Coco-Sulfate  Glycerin  Coco-Glucoside  Sodium Cocoyl Isethionate  Sodium Chloride  Citric Acid  Sodium Benzoate  Potassium Sorbate  Sodium Carbonate  [[DISCLOSED FRAGRANCE]]**  **COMPONENTS: Cinnamonitrile  Ethyl Butyrate  Gamma-Undecalactone  P-Anisyl Acetate  Triethyl Citrate
30,"Everyone Hand Sanitizer Spray, Lavender Aloe Rating",Hand Sanitizer,Active Ingredients: Ethanol 62%  Inactive Ingredients: Purified Water  Lavandula Angustifolia (Lavender) Essential Oil  Organic Aloe Barbadensis Leaf  Glycerin
31,"ATTITUDE Super Leaves Liquid Hand Soap, Olive Leaves Rating",Liquid Hand Soap,Aqua / water / eau  sodium coco-sulfate  sodium chloride  coco-glucoside  vegetable glycerin  decyl glucoside  glyceryl oleate  citric acid  nasturtium officinale (watercress / cresson) extract  tropaeolum magus (indian cress / capucine) extract  maltodextrin  moringa oleifera seed extract  olea europaea (olive) leaf extract  sodium benzoate  potassium sorbate  hexyl salicylate (floral)  geranyl acetate (floral)  methyldihydrojasmonate (jasmin).
32,"Honest Hand Sanitizer Gel, Free & Clear Rating",Hand Sanitizer,Active Ingredient: Ethyl Alcohol 62%  Inactive Ingredients: Aloe Barbadensis Leaf Juice  Calendula Officinalis Flower Extract  Chamomilla Recutita (Matricaria) Flower Extract  Citric Acid  Glycerin  Hydroxypropyl Guar  Water
33,Lowen's Natural Skin Care Be Local Lip Balm Rating,Lip Balm,Cera Alba (Beeswax)*  Organic Canola Oil**  Cetyl Alcohol  Carthamus Tinctorius (Safflower) Oleosomes*  Glycerin  Aqua  Btuyrosperimum Parkii (Shea) butter***  Menthol  Rosmarinus Officinalis (Rosemary) Leaf Oil  Hyaluronic Acid  Honey*
34,"Honest Hand Sanitizer Spray, Free and Clear Rating",Hand Sanitizer,Active Ingredient: Ethyl Alcohol 62%  Inactive Ingredient: Aloe Barbadensis Leaf Juice  Calendula Officinalis Flower Extract  Chamomilla Recutita (Matricaria) Flower Extract  Glycerin  Water
35,"Sally B's Skin Yummies Foaming Hand Soap, Unscented Rating",Liquid Hand Soap,Purified water  Cocos Nucifera (Coconut) Oil*  Olea Europaea (Olive) Oil*  Simmondsia Chinensis (Jojoba) Seed Oil*  Aloe Barbadensis leaf*  Rosmarinus Officinalis (Rosemary) Leaf Extract  Vegetable Glycerin*
36,"Everyone Hand Sanitizer Gel, Coconut + Lemon Rating",Hand Sanitizer,Active Ingredients: Ethanol 62%  Inactive Ingredients: Purified Water  Vegetable Glycerin  Citrus Medica Limonum (Lemon) Peel Oil  Organic Cocos Nucifera (Coconut) Flavor Extract  Organic Simmondsia Chinensis (Jojoba) Seed Oil  Carbomer  Dimethicone  Aminomethyl Propanol
37,"ATTITUDE Baby Leaves Science Training Toothpaste Fluoride-Free,",Baby Toothpaste,Aqua/water/eau  sorbitol  glycerin  hydrated silica  decyl glucoside  sodium chloride  xanthan gum  citric acid  stevia rebaudiana leaf/stem extract  sodium benzoate  potassium sorbate  caprylic/capric triglyceride  3-hexenol (green leaves)  vanillin  methyl cinnamate (strawberry)  carica papaya (papaya) leaf extract  camellia sinensis (green tea) leaf extract
38,"Everyone Hand Sanitizer Gel, Lavender Aloe Rating",Hand Sanitizer,Active Ingredients: Ethanol 62%  Inactive Ingredients: Purified Water  Glycerin  Lavandula Angustifolia (Lavender) Oil  Organic Simmondsia Chinensis (Jojoba) Seed Oil  Organic Aloe Barbadensis Leaf  Carbomer  Dimethicone  Aminomethyl Propanol
39,Be Green Bath & Body Citrus Lip Balm Rating,Lip Balm,Cera Alba (Beeswax)  Helianthus Annus (Sunflower) Seed Oil*  Olea Europaea (Olive) Oil*  Ricinus Communis (Castor) Seed Oil*  Zinc Oxide  Citrus Sinensis (Orange) Peel Oil*.
40,"Sally B's Skin Yummies Foaming Hand Soap, Lavender Rating",Liquid Hand Soap,Purified water  Cocos Nucifera (Coconut) Oil*  Olea Europaea (Olive) Oil*  Simmondsia Chinensis (Jojoba) Seed Oil*  Aloe Barbadensis leaf*  Rosmarinus Officinalis (Rosemary) Leaf Extract  Vegetable Glycerin*  Lavendula Angustifolia (Lavender) Oil*
41,"ATTITUDE Sensitive Skin Hand Soap, Argan Rating",Liquid Hand Soap,Aqua / water / eau  sodium coco-sulfate  glycerin  sodium cocoyl isethionate  coco-glucoside  sodium chloride  citric acid  sodium benzoate  potassium sorbate  argania spinosa (argan) kernel oil  avena sativa (oat / avoine) kernel extract  vanillin  pentadecalactone (fruit)  linalyl acetate (floral).
42,"Better & Better Fully Charged Toothpaste, Bettermint Rating",Toothpaste,Organic Vegetable Glycerin  Water (Aqua)  Calcium Carbonate  Organic Cocos Nucifera (Coconut) Oil  Organic Cocos Nucifera (Coconut) Fruit Powder  Organic Xylitol  Sodium Cocoyl Glutamate  Sodium Bicarbonate (Baking Soda)  Leuconostoc/Radish Root Fermant Filtrate  Organic Mentha Spicata (Spearmint) Leaf Oil  Agave Tequilana (Blue Agave) Stem Extract  Organic Mentha Piperita (Peppermint) Oil  Sodium Chloride (Salt)  Cholecalciferol (Vitamin D3)  Methylcobalamin (Vitamin B12)  Organic Stevia Rebaudiana Leaf/Stem Extract  Xanthan Gum  Organic Menthol
43,,,
44,"Sally B's Skin Yummies Foaming Hand Soap, Lemongrass Rating",Liquid Hand Soap,Purified water  Cocos Nucifera (Coconut) Oil*  Olea Europaea (Olive) Oil*  Simmondsia Chinensis (Jojoba) Seed Oil*  Aloe Barbadensis leaf*  Rosmarinus Officinalis (Rosemary) Leaf Extract  Vegetable Glycerin*  Cymbopogan Flexuosus (Lemongrass EO)*
45,"Purelygreat Charcoal Deodorant, Unscented Rating",Antiperspirant/Deodorant,Sodium bicarbonate  Zea Mays(corn) starch  Glycerin  Charcoal Powder
46,"Davids Premium Natural Toothpaste, Natural Spearmint Rating",Tooth Whitening,calcium carbonate (limestone abrasive)  purified water  sodium bicarbonate (baking soda)  vegetable glycerin  hydrated silica  xylitol (birch derived)  sodium cocoyl glutamate  carrageenan (seaweed extract)  mentha piperita (peppermint) oil  mentha gracilis (scotch spearmint) oil  mentha spicata herb (spearmint) oil  Illicium verum (anise) fruit oil  citrus aurantium amara (orange) peel oil  stevia (leaf extract)
47,"Honest Hand Sanitizer Spray, Lavender Field Rating",Hand Sanitizer,Active Ingredient: Ethyl Alcohol 62%  Inactive Ingredients: Aloe Barbadensis Leaf Juice  Calendula Officinalis Flower Extract  Chamomilla Recutita (Matricaria) Flower Extract  Glycerin  Lavandula Hybrida (Lavandin) Oil  Linalool  Mentha Arvensis (Cornmint) Oil  Water
48,Modere Mouth Rinse REFRESH Rating,Mouthwash,Water  sodium chlorite  Mentha Piperita (Peppermint) Oil  Butylene Glycol.
49,"Purelygreat Cream Deodorant, Floral Rating",Antiperspirant/Deodorant,Sodium bicarbonate  Glycerin  Zea Mays (corn) starch  citrus reticulata blanco var tangerina oil  cymbopogon martinii var motia oil  cedrus deodora oil  pelargonium graveolens oil  rosa damascena oil
50,Aromanthi Tension Relief Pain Salve Rating,Muscle/Joint Soreness,Simmondsia chinensis (Jojoba) Seed Oil*  Organic Cocos Nucifera (Coconut) Oil  Rosa x damascena (Rose) hydrosol*  100% Pure Cera alba (Beeswax)  Lavandula angustifolia (English Lavender) essential oil*  Boswellia sacra (Frankincense) essential oil*  Rosmarinus officinalis (Rosemary) essential oil*  Salvia sclarea (Clary Sage) essential oil*  Vetiveria zizanioides (Vetiver) essential oil*
51,"Honest Sanitizing Wipes, Free and Clear Rating",Hand Sanitizer,Ethyl Alcohol  Water  Glycerin  Aloe Barbadensis Leaf Extract
52,"ATTITUDE Essential Oils Super Leaves Hand Soap, Patchouli & Black Pepper",Liquid Hand Soap,Aqua/Water/Eau  Sodium Coco-Sulfate  Glycerin  Sodium Chloride  Lauryl Hydroxysultaine  Coco-Glucoside  Sodium Cocoyl Isethionate  Citric Acid  Sodium Benzoate  Potassium Sorbate  Coriandrum Sativum (Coriander) Fruit Oil  Vitis Vinifera (Grape) Seed Oil  Pogostemon Cablin Leaf Oil  Piper Nigrum (Pepper) Fruit Oil  Nasturtium Officinale Extract  Tropaeolum Majus Flower/Leaf Extract  Punica Granatum (Pomegranate) Extract  Vitis Vinifera (Grape) Leaf Extract  Linalool*
53,"Christopher's Organics Organic Deodorant, Monsieur Cedarwood Rating",Antiperspirant/Deodorant,Fair Trade Organic Cold-Pressed Virgin Cocos Nucifera (Coconut) Oil  Organic Copernicia Cerifera (Carnauba) Wax  Organic Maranta Arundinacea (Arrowroot) Root Powder  Sodium Bicarbonate (Baking Soda)  Organic Cedrus Atlantica (Cedarwood Atlas) Essential Oil  Organic Simmondsia Chinesis (Jojoba) Seed Oil
54,"Grove Collaborative Hand Sanitizer Spray, Blood Orange Rating",Hand Sanitizer,Active ingredient: Ethyl alcohol 62%  Aloe Barbadensis (Aloe Vera) Leaf Juice  Citrus Aurantium Dulcis (Orange) Peel Oil  Cocos Nucifera (Coconut) Oil*  Glycerin*  Helianthus Annuus (Sunflower) Seed Oil*  Simmondsia Chinensis (Jojoba) Seed Oil*  Tocopheryl Acetate  Water
55,"ATTITUDE Sensitive Skin Hand Soap, Chamomile Rating",Liquid Hand Soap,Aqua / water / eau  sodium coco-sulfate  glycerin  sodium cocoyl isethionate  sodium chloride  coco-glucoside  citric acid  sodium benzoate  potassium sorbate  avena sativa (oat / avoine) kernel extract  chamomilla recutita (matricaria) flower extract  triethyl citrate  linalyl acetate (floral)  geranyl acetate (floral).
56,"ATTITUDE Hand Soap, Pine & Sage Rating",Liquid Hand Soap,Aqua/Water/Eau  Sodium Coco-Sulfate  Glycerin  Coco-Glucoside  Sodium Cocoyl Isethionate  Sodium Chloride  Citric Acid  Sodium Benzoate  Potassium Sorbate  Sodium Carbonate  [[DISCLOSED FRAGRANCE]]**  **COMPONENTS: Gamma-Undecalactone  Isobornyl Acetate  Methyldihydrojasmonate  Triethyl Citrate  Vanillin
57,"Purelygreat Charcoal Deodorant, Citrus Rating",Antiperspirant/Deodorant,Sodium bicarbonate (51%)  Zea Mays(corn) starch (12%)  Glycerin (36%)  citrus paradisi oil  citrus sinensis oil  cupressus sempervirens oil  coriandrum sativum oil  pogostemon cablin oil  pelargonium graveolens oil  citrus aurantifolia oil  Charcoal Powder (<1%)
58,"Everyone Hand Sanitizer Spray, Coconut + Lemon Rating",Hand Sanitizer,Active Ingredients: Ethanol 62%  Inactive Ingredients: Purified Water  Citrus Medica Limonum (Lemon) Peel Oil  Organic Cocos Nucifera (Coconut) Flavor Extract  Vegetable Glycerin
59,"Dr. Bronner's Organic Lip Balm, Peppermint Rating",Lip Balm,Persea Gratissima (Avocado) Oil  Simmondsia Chinensis (Jojoba) Seed Oil  Cera Alba (Beeswax)  Mentha Piperita (Peppermint) Oil  Cannabis Sativa (Hemp) Seed Oil  Tocopherol  Citral  Linalool  Limonene
60,"Christopher's Organics Organic Deodorant, Tea Tree Lovers Rating",Antiperspirant/Deodorant,Fair Trade Organic Cold-Pressed Virgin Cocos Nucifera (Coconut) Oil  Organic Copernicia Cerifera (Carnauba) Wax  Organic Maranta Arundinacea (Arrowroot) Root Powder  Sodium Bicarbonate (Baking Soda)  Organic Melaleuca Alternifolia (Tea Tree) Essential Oil  Organic Simmondsia Chinesis (Jojoba) Seed Oil
